,Tweets,ID
161,Wednesday’s Guardian: “’Blow to Putin’: Britain and US ban Russian oil” #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/P82qd3n4FZ,1501331272735543300
162,Wednesday’s Telegraph: “Poland offers fighter jets for Ukraine” #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/I4YKREuRYx,1501331220055142409
163,Wednesday’s FT: “US bans Russian oil as shelling forces Ukraine to halt fresh evacuation bid” #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/3Ku4EoIbAy,1501331168804941824
164,Patients going private for cataract and hip operations https://t.co/XdwgXWZnVw,1501331030447431681
165,Mid and East Antrim Council interim chief executive resigns https://t.co/gELZ1SOCAQ,1501329178922266633
166,"No more 🍔 Big Macs in Moscow and the UK says ""no"" to 🛢️ Russian oil...

Hear more on the latest episode of #BBCNewscast 

https://t.co/GsWGPAJp8W",1501328774603882497
167,Woman arrested in Dundee murder investigation https://t.co/SYCmjxeOCm,1501326229164724229
168,"Your questions answered... 

Listen to our special #Ukrainecast and #GlobalNewsPodcast collaboration on @BBCSounds 🎧 

https://t.co/v6aZlB77my",1501322688429654027
169,Devon hospitals urge people with Covid to stay away https://t.co/Iqbzq1pv8X,1501321702583713794
170,Tyne Tunnel fine issued to driver 300 miles away https://t.co/RBhTMAPcoe,1501319349977726978
171,Edward III gold coin found by Norfolk detectorist sells for £174k https://t.co/bNgsfjzpJS,1501317080615997454
172,Driver cleared of Borders fatal crash charge https://t.co/VGubBoosNs,1501316108275666944
173,Ed Sheeran sings to the High Court during Shape of You copyright case https://t.co/NGGSxpYmZT,1501314506043138049
174,"Owner ""devastated"" after £115k bike shop theft https://t.co/8eW3Einwkb",1501312474766794759
175,Duke of Wellington's Ukraine cone becomes online hit https://t.co/ORBS6yFkbJ,1501311313485705216
176,"Wrexham man, 86, died after four-hour ambulance wait, family say https://t.co/hGmMzQ8Mxj",1501308997005160456
177,"Fisherman lost balance before deadly fall, probe finds https://t.co/o7TJkEpxna",1501307802953957380
178,Man convicted of murder after stabbing teenager Derlano Samuels in West Midlands https://t.co/VxechmXLtk,1501306647184035841
179,Ukrainian actor Pasha Lee killed in Russian bombardment https://t.co/v8XZiXSqLS,1501303140880105476
180,81-year-old motorcyclist dies after Seaforde crash https://t.co/ki1SL9BKqJ,1501301909302517768
181,Lancaster mum wins legal fight for son's kidney transplant https://t.co/iFwXyLGR7a,1501300735698427904
182,"Critical care patients with Covid in single figures in Wales, the lowest since July https://t.co/D6GdbjTLDM",1501298982730928130
183,Twin thought to be UK's most premature to survive goes home https://t.co/oaHRS02gbD,1501295070355599372
